         x          IC           u           e
     0.568     4.32026    0.550786    0.550188
      0.57     4.29969    0.550026    0.549427
     0.572     4.27928    0.549244    0.548645
     0.574     4.25916     0.54844     0.54784
     0.576     4.23938    0.547615    0.547015
     0.578     4.21983    0.546768    0.546167
      0.58     4.20032      0.5459    0.545298
     0.582     4.18067     0.54501    0.544408
     0.584     4.16074    0.544099    0.543496
     0.586     4.14051    0.543166    0.542563
     0.588      4.1201    0.542212    0.541608
      0.59     4.09967    0.541236    0.540632
     0.592     4.07938    0.540239    0.539634
     0.594     4.05935    0.539221    0.538615
     0.596     4.03957    0.538181    0.537575
     0.598     4.01995    0.537121    0.536514
       0.6     4.00034    0.536039    0.535431
     0.602     3.98058    0.534936    0.534327
     0.604     3.96058    0.533811    0.533203
     0.606     3.94036    0.532666    0.532057
     0.608        3.92      0.5315     0.53089
      0.61     3.89966    0.530312    0.529702
     0.612     3.87946    0.529104    0.528494
     0.614     3.85948    0.527875    0.527264
     0.616      3.8397    0.526625    0.526014
     0.618     3.82003    0.525355    0.524743
      0.62     3.80034    0.524063    0.523451
     0.622     3.78051    0.522751    0.522138
     0.624     3.76047    0.521418    0.520805
     0.626     3.74025    0.520065    0.519451
     0.628     3.71994    0.518691    0.518077
      0.63     3.69966    0.517297    0.516683
     0.632     3.67952    0.515882    0.515268
     0.634     3.65958    0.514447    0.513832
     0.636      3.6398    0.512992    0.512377
     0.638     3.62009    0.511517    0.510901
      0.64     3.60034    0.510021    0.509405
     0.642     3.58045    0.508505    0.507888
     0.644     3.56038    0.506969    0.506352
     0.646     3.54016    0.505413    0.504796
     0.648     3.51989    0.503837     0.50322
      0.65     3.49966    0.502242    0.501624
     0.652     3.47958    0.500626    0.500008
     0.654     3.45966    0.498991    0.498372
     0.656     3.43987    0.497336    0.496717
     0.658     3.42013    0.495662    0.495042
      0.66     3.40033    0.493967    0.493348
     0.662      3.3804    0.492254    0.491634
     0.664     3.36031    0.490521    0.489901
     0.666      3.3401    0.488769    0.488148
     0.668     3.31985    0.486997    0.486376
      0.67     3.29967    0.485206    0.484585
     0.672     3.27962    0.483396    0.482775
     0.674     3.25973    0.481567    0.480946
     0.676     3.23993    0.479719    0.479098
     0.678     3.22016    0.477852     0.47723
      0.68     3.20032    0.475966    0.475344
     0.682     3.18035    0.474062     0.47344
     0.684     3.16024    0.472138    0.471516
     0.686     3.14004    0.470196    0.469574
     0.688     3.11983    0.468236    0.467614
      0.69     3.09968    0.466257    0.465634
     0.692     3.07967     0.46426    0.463637
     0.694     3.05978    0.462244    0.461621
     0.696     3.03998     0.46021    0.459587
     0.698     3.02019    0.458158    0.457535
       0.7     3.00031    0.456088    0.455465
     0.702     2.98031       0.454    0.453377
     0.704     2.96019    0.451894    0.451271
     0.706        2.94    0.449771    0.449147
     0.708     2.91981    0.447629    0.447005
      0.71     2.89969     0.44547    0.444846
     0.712     2.87971    0.443293    0.442669
     0.714     2.85983    0.441099    0.440475
     0.716     2.84002    0.438887    0.438263
     0.718      2.8202    0.436658    0.436034
      0.72      2.8003    0.434412    0.433788
     0.722     2.78028    0.432149    0.431525
     0.724     2.76014    0.429869    0.429244
     0.726     2.73996    0.427571    0.426947
     0.728     2.71979    0.425257    0.424633
      0.73     2.69971    0.422926    0.422302
     0.732     2.67974    0.420579    0.419954
     0.734     2.65988    0.418215     0.41759
     0.736     2.64006    0.415834    0.415209
     0.738     2.62021    0.413437    0.412812
      0.74     2.60028    0.411024    0.410399
     0.742     2.58024    0.408594    0.407969
     0.744      2.5601    0.406148    0.405524
     0.746     2.53993    0.403687    0.403062
     0.748     2.51978    0.401209    0.400584
      0.75     2.49972    0.398716    0.398091
     0.752     2.47978    0.396207    0.395582
     0.754     2.45992    0.393682    0.393057
     0.756     2.44009    0.391142    0.390517
     0.758     2.42022    0.388586    0.387961
      0.76     2.40027    0.386015     0.38539
     0.762     2.38021    0.383429    0.382804
     0.764     2.36006    0.380827    0.380203
     0.766      2.3399    0.378211    0.377586
     0.768     2.31978     0.37558    0.374955
      0.77     2.29974    0.372933    0.372309
     0.772     2.27981    0.370273    0.369648
     0.774     2.25995    0.367597    0.366973
     0.776     2.24011    0.364907    0.364283
     0.778     2.22023    0.362203    0.361579
      0.78     2.20025    0.359485    0.358861
     0.782     2.18017    0.356752    0.356128
     0.784     2.16003    0.354005    0.353381
     0.786     2.13988    0.351244    0.350621
     0.788     2.11977     0.34847    0.347846
      0.79     2.09976    0.345682    0.345058
     0.792     2.07984     0.34288    0.342256
     0.794     2.05999    0.340064    0.339441
     0.796     2.04013    0.337235    0.336612
     0.798     2.02023    0.334393     0.33377
       0.8     2.00023    0.331538    0.330915
     0.802     1.98014    0.328669    0.328046
     0.804        1.96    0.325788    0.325165
     0.806     1.93986    0.322894    0.322271
     0.808     1.91977    0.319987    0.319364
      0.81     1.89978    0.317068    0.316445
     0.812     1.87987    0.314136    0.313513
     0.814     1.86002    0.311191    0.310569
     0.816     1.84015    0.308234    0.307612
     0.818     1.82023    0.305266    0.304643
      0.82     1.80021    0.302285    0.301663
     0.822     1.78011    0.299292     0.29867
     0.824     1.75997    0.296288    0.295666
     0.826     1.73984    0.293271     0.29265
     0.828     1.71978    0.290244    0.289622
      0.83      1.6998    0.287204    0.286583
     0.832      1.6799    0.284154    0.283533
     0.834     1.66005    0.281092    0.280471
     0.836     1.64017    0.278019    0.277398
     0.838     1.62022    0.274936    0.274315
      0.84     1.60019    0.271841     0.27122
     0.842     1.58008    0.268736    0.268115
     0.844     1.55994     0.26562       0.265
     0.846     1.53983    0.262494    0.261873
     0.848     1.51978    0.259357    0.258737
      0.85     1.49982     0.25621     0.25559
     0.852     1.47993    0.253053    0.252433
     0.854     1.46007    0.249886    0.249267
     0.856     1.44018    0.246709     0.24609
     0.858     1.42022    0.243523    0.242904
      0.86     1.40017    0.240327    0.239708
     0.862     1.38005    0.237121    0.236502
     0.864     1.35992    0.233906    0.233287
     0.866     1.33982    0.230682    0.230064
     0.868     1.31979    0.227449    0.226831
      0.87     1.29984    0.224207    0.223589
     0.872     1.27996    0.220956    0.220338
     0.874     1.26009    0.217696    0.217078
     0.876     1.24019    0.214428     0.21381
     0.878     1.22021    0.211151    0.210534
      0.88     1.20014    0.207866    0.207249
     0.882     1.18003    0.204573    0.203956
     0.884      1.1599    0.201272    0.200655
     0.886     1.13981    0.197963    0.197346
     0.888      1.1198    0.194646    0.194029
      0.89     1.09987    0.191321    0.190705
     0.892     1.07999    0.187989    0.187373
     0.894     1.06011     0.18465    0.184033
     0.896     1.04019    0.181303    0.180687
     0.898      1.0202    0.177949    0.177333
       0.9     1.00012    0.174588    0.173972
     0.902    0.979999     0.17122    0.170604
     0.904    0.959877    0.167846     0.16723
     0.906    0.939805    0.164465    0.163849
     0.908     0.91981    0.161077    0.160462
      0.91     0.89989    0.157683    0.157068
